"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 06, 2019","11,305.05","11,196.20","11,362.90","11,090.15","2.77B","1.17%"
"Sep 29, 2019","11,174.75","11,491.15","11,554.20","11,158.35","4.01B","-2.93%"
"Sep 22, 2019","11,512.40","11,542.70","11,694.85","11,416.10","3.66B","2.11%"
"Sep 15, 2019","11,274.20","10,994.85","11,381.90","10,670.25","3.43B","1.79%"
"Sep 08, 2019","11,075.90","10,936.70","11,084.45","10,889.80","2.28B","1.18%"
"Sep 01, 2019","10,946.20","10,960.95","10,967.50","10,746.35","2.08B","-0.70%"
"Aug 25, 2019","11,023.25","11,000.30","11,141.75","10,756.55","3.20B","1.79%"
"Aug 18, 2019","10,829.35","11,094.80","11,146.90","10,637.15","2.71B","-1.98%"
"Aug 11, 2019","11,047.80","11,139.40","11,145.90","10,901.60","1.61B","-0.56%"
"Aug 04, 2019","11,109.65","10,895.80","11,181.45","10,782.60","2.59B","1.02%"
"Jul 28, 2019","10,997.35","11,307.50","11,310.95","10,848.95","2.55B","-2.54%"
"Jul 21, 2019","11,284.30","11,392.85","11,398.15","11,210.05","2.46B","-1.18%"
"Jul 14, 2019","11,419.25","11,614.75","11,706.65","11,399.30","2.26B","-1.15%"
"Jul 07, 2019","11,552.50","11,770.40","11,771.90","11,461.00","1.92B","-2.19%"
"Jun 30, 2019","11,811.15","11,839.90","11,981.75","11,797.90","1.85B","0.19%"
"Jun 23, 2019","11,788.85","11,725.80","11,911.15","11,651.00","1.69B","0.55%"
"Jun 16, 2019","11,724.10","11,844.00","11,844.05","11,625.10","2.02B","-0.84%"
"Jun 09, 2019","11,823.30","11,934.90","12,000.35","11,797.70","1.76B","-0.40%"
"Jun 02, 2019","11,870.65","11,953.75","12,103.05","11,769.50","1.32B","-0.44%"
"May 26, 2019","11,922.80","11,855.50","12,039.25","11,812.40","2.12B","0.66%"
"May 19, 2019","11,844.10","11,651.90","12,041.15","11,591.70","2.13B","3.83%"
"May 12, 2019","11,407.15","11,258.70","11,426.15","11,108.30","1.93B","1.14%"
"May 05, 2019","11,278.90","11,605.80","11,657.05","11,251.05","1.77B","-3.70%"
"Apr 28, 2019","11,712.25","11,748.75","11,789.30","11,655.90","1.22B","-0.36%"
"Apr 21, 2019","11,754.65","11,727.05","11,796.75","11,564.80","1.81B","0.02%"
"Apr 14, 2019","11,752.80","11,667.00","11,856.15","11,648.25","983.96M","0.94%"
"Apr 07, 2019","11,643.45","11,704.35","11,710.30","11,549.10","1.45B","-0.19%"
"Mar 31, 2019","11,665.95","11,665.20","11,761.00","11,559.20","1.75B","0.36%"
"Mar 24, 2019","11,623.90","11,395.65","11,630.35","11,311.60","1.87B","1.46%"
"Mar 17, 2019","11,456.90","11,473.85","11,572.80","11,412.50","1.40B","0.26%"
"Mar 10, 2019","11,426.85","11,068.75","11,487.00","11,059.85","1.88B","3.55%"
"Mar 03, 2019","11,035.40","10,864.85","11,089.05","10,817.00","1.39B","1.58%"
"Feb 24, 2019","10,863.50","10,813.25","10,939.70","10,729.30","2.13B","0.67%"
"Feb 17, 2019","10,791.65","10,738.65","10,808.85","10,585.65","1.60B","0.63%"
"Feb 10, 2019","10,724.40","10,930.90","10,930.90","10,620.40","2.05B","-2.00%"
"Feb 03, 2019","10,943.60","10,876.75","11,118.10","10,814.15","1.50B","0.46%"
"Jan 27, 2019","10,893.65","10,792.45","10,983.45","10,583.65","2.27B","1.05%"
"Jan 20, 2019","10,780.55","10,919.35","10,987.45","10,756.45","1.71B","-1.16%"
"Jan 13, 2019","10,906.95","10,807.00","10,930.65","10,692.35","1.48B","1.04%"
"Jan 06, 2019","10,794.95","10,804.85","10,870.40","10,733.25","1.40B","0.63%"
"Dec 30, 2018","10,727.35","10,913.20","10,923.60","10,628.65","1.24B","-1.22%"
"Dec 23, 2018","10,859.90","10,780.90","10,893.60","10,534.55","1.23B","0.98%"
"Dec 16, 2018","10,754.00","10,853.20","10,985.15","10,738.65","1.64B","-0.48%"
"Dec 09, 2018","10,805.45","10,508.70","10,838.60","10,333.85","1.94B","1.05%"
"Dec 02, 2018","10,693.70","10,930.70","10,941.20","10,588.25","1.74B","-1.68%"
"Nov 25, 2018","10,876.75","10,568.30","10,922.45","10,489.75","2.33B","3.32%"
