"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2017","3,159.17","3,125.42","3,163.10","3,125.42","48.46B","1.15%"
"Jan 15, 2017","3,123.14","3,104.49","3,125.66","3,044.29","77.20B","0.33%"
"Jan 08, 2017","3,112.76","3,148.53","3,174.58","3,102.16","83.50B","-1.32%"
"Jan 01, 2017","3,154.32","3,105.31","3,172.03","3,105.31","66.79B","1.63%"
"Dec 25, 2016","3,103.64","3,095.58","3,127.88","3,068.41","69.57B","-0.21%"
"Dec 18, 2016","3,110.15","3,120.70","3,143.17","3,084.80","83.23B","-0.41%"
"Dec 11, 2016","3,122.98","3,233.67","3,245.09","3,100.91","101.62B","-3.40%"
"Dec 04, 2016","3,232.88","3,203.78","3,244.80","3,189.49","92.44B","-0.34%"
"Nov 27, 2016","3,243.84","3,270.05","3,301.21","3,235.28","134.33B","-0.55%"
"Nov 20, 2016","3,261.94","3,188.50","3,262.88","3,188.28","120.85B","2.16%"
"Nov 13, 2016","3,192.86","3,187.71","3,221.46","3,186.80","121.63B","-0.10%"
"Nov 06, 2016","3,196.04","3,124.89","3,202.74","3,096.95","116.64B","2.26%"
"Oct 30, 2016","3,125.32","3,097.19","3,141.33","3,081.07","91.51B","0.68%"
"Oct 23, 2016","3,104.27","3,092.05","3,137.03","3,090.79","97.53B","0.43%"
"Oct 16, 2016","3,090.94","3,064.69","3,101.85","3,033.75","87.63B","0.89%"
"Oct 09, 2016","3,063.81","3,020.46","3,066.10","3,014.62","77.99B","1.97%"
"Sep 25, 2016","3,004.70","3,028.24","3,028.24","2,969.13","58.52B","-0.96%"
"Sep 18, 2016","3,033.90","3,005.32","3,054.44","3,005.32","61.88B","1.03%"
"Sep 11, 2016","3,002.85","3,037.51","3,040.95","2,995.42","47.48B","-2.47%"
"Sep 04, 2016","3,078.85","3,070.71","3,105.68","3,053.19","81.14B","0.37%"
"Aug 28, 2016","3,067.35","3,068.46","3,088.70","3,050.49","73.19B","-0.10%"
"Aug 21, 2016","3,070.31","3,107.38","3,112.74","3,041.51","81.62B","-1.22%"
"Aug 14, 2016","3,108.10","3,056.48","3,140.44","3,053.87","121.35B","1.88%"
"Aug 07, 2016","3,050.67","2,972.62","3,051.05","2,959.05","82.05B","2.48%"
"Jul 31, 2016","2,976.70","2,971.95","2,991.68","2,931.96","67.98B","-0.09%"
"Jul 24, 2016","2,979.34","3,008.09","3,057.42","2,939.23","92.17B","-1.11%"
"Jul 17, 2016","3,012.82","3,047.64","3,058.32","3,007.46","79.69B","-1.36%"
"Jul 10, 2016","3,054.30","2,993.75","3,069.05","2,984.42","109.05B","2.22%"
"Jul 03, 2016","2,988.09","2,924.29","3,024.11","2,922.52","106.13B","1.90%"
"Jun 26, 2016","2,932.48","2,840.56","2,944.99","2,840.28","81.95B","2.74%"
"Jun 19, 2016","2,854.29","2,887.64","2,919.30","2,807.60","75.85B","-1.07%"
"Jun 12, 2016","2,885.11","2,897.27","2,911.16","2,811.78","80.10B","-1.44%"
"Jun 05, 2016","2,927.16","2,940.99","2,945.94","2,908.37","41.80B","-0.39%"
"May 29, 2016","2,938.68","2,814.65","2,945.52","2,794.66","84.17B","4.17%"
"May 22, 2016","2,821.05","2,826.31","2,848.07","2,780.76","56.01B","-0.16%"
"May 15, 2016","2,825.48","2,816.78","2,860.32","2,781.42","59.88B","-0.06%"
