"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 27, 2013","4,566.12","4,504.99","4,575.98","4,489.13","-","1.36%"
"Jan 20, 2013","4,504.99","4,528.45","4,543.08","4,478.68","-","-0.52%"
"Jan 13, 2013","4,528.45","4,438.66","4,534.03","4,422.59","-","2.02%"
"Jan 06, 2013","4,438.66","4,397.91","4,465.86","4,380.12","-","0.93%"
"Dec 30, 2012","4,397.91","4,301.38","4,428.08","4,301.38","-","2.24%"
"Dec 23, 2012","4,301.38","4,293.78","4,305.67","4,280.97","-","0.18%"
"Dec 16, 2012","4,293.78","4,263.04","4,304.25","4,254.51","-","0.72%"
"Dec 09, 2012","4,263.04","4,136.97","4,266.97","4,124.73","-","3.05%"
"Dec 02, 2012","4,136.97","4,139.99","4,164.63","4,123.09","-","-0.07%"
"Nov 25, 2012","4,139.99","4,143.25","4,152.03","4,103.67","-","-0.08%"
"Nov 18, 2012","4,143.25","4,184.85","4,200.15","4,130.27","-","-0.99%"
"Nov 11, 2012","4,184.85","4,237.78","4,239.87","4,121.81","-","-1.25%"
"Nov 04, 2012","4,237.78","4,266.35","4,279.35","4,228.29","-","-0.67%"
"Oct 28, 2012","4,266.35","4,250.40","4,270.54","4,238.35","-","0.38%"
"Oct 21, 2012","4,250.40","4,265.38","4,272.14","4,222.76","-","-0.35%"
"Oct 14, 2012","4,265.38","4,246.13","4,324.08","4,246.13","-","0.45%"
"Oct 07, 2012","4,246.13","4,302.69","4,310.30","4,236.74","-","-1.31%"
"Sep 30, 2012","4,302.69","4,230.42","4,306.63","4,214.33","-","1.71%"
"Sep 23, 2012","4,230.42","4,231.07","4,235.45","4,173.57","-","-0.02%"
"Sep 16, 2012","4,231.07","4,218.00","4,237.96","4,198.54","-","0.31%"
"Sep 09, 2012","4,218.00","4,166.15","4,222.89","4,157.91","-","1.24%"
"Sep 02, 2012","4,166.15","4,155.68","4,167.22","4,103.69","-","0.25%"
"Aug 26, 2012","4,155.68","4,188.11","4,190.88","4,121.39","-","-0.77%"
"Aug 19, 2012","4,188.11","4,261.98","4,291.22","4,185.20","-","-1.73%"
"Aug 12, 2012","4,261.98","4,187.65","4,272.55","4,167.89","-","1.77%"
"Aug 05, 2012","4,187.65","4,193.10","4,201.08","4,143.98","-","-0.13%"
"Jul 29, 2012","4,193.10","4,254.32","4,269.18","4,112.30","-","-1.44%"
"Jul 22, 2012","4,254.32","4,384.50","4,384.50","4,203.01","-","-2.97%"
"Jul 15, 2012","4,384.50","4,372.67","4,410.78","4,363.17","-","0.27%"
"Jul 08, 2012","4,372.67","4,413.41","4,418.13","4,342.77","-","-0.92%"
"Jul 01, 2012","4,413.41","4,400.10","4,428.69","4,397.16","-","0.30%"
"Jun 24, 2012","4,400.10","4,358.84","4,401.76","4,310.17","-","0.95%"
"Jun 17, 2012","4,358.84","4,317.83","4,403.57","4,303.36","-","0.95%"
"Jun 10, 2012","4,317.83","4,349.46","4,377.10","4,246.35","-","-0.73%"
"Jun 03, 2012","4,349.46","4,280.51","4,351.62","4,198.73","-","1.61%"
"May 27, 2012","4,280.51","4,254.61","4,321.52","4,241.67","-","0.61%"
"May 20, 2012","4,254.61","4,239.71","4,307.28","4,153.85","-","0.35%"
"May 13, 2012","4,239.71","4,476.30","4,485.27","4,229.70","-","-5.29%"
"May 06, 2012","4,476.30","4,529.21","4,548.35","4,469.39","-","-1.17%"
"Apr 29, 2012","4,529.21","4,575.54","4,591.15","4,516.52","-","-1.01%"
"Apr 22, 2012","4,575.54","4,594.44","4,594.75","4,535.04","-","-0.41%"
"Apr 15, 2012","4,594.44","4,527.46","4,596.78","4,494.90","-","1.48%"
"Apr 08, 2012","4,527.46","4,647.99","4,647.99","4,515.69","-","-2.59%"
"Apr 01, 2012","4,647.99","4,671.28","4,696.67","4,617.96","-","-0.50%"
"Mar 25, 2012","4,671.28","4,617.69","4,691.65","4,622.27","-","1.16%"
"Mar 18, 2012","4,617.69","4,585.95","4,645.46","4,568.58","-","0.69%"
"Mar 11, 2012","4,585.95","4,520.31","4,602.82","4,511.15","-","1.45%"
"Mar 04, 2012","4,520.31","4,552.34","4,553.62","4,454.86","-","-0.70%"
"Feb 26, 2012","4,552.34","4,512.16","4,570.64","4,474.77","-","0.89%"
"Feb 19, 2012","4,512.16","4,545.90","4,553.54","4,489.86","-","-0.74%"
"Feb 12, 2012","4,545.90","4,410.74","4,548.43","4,409.60","-","3.06%"
"Feb 05, 2012","4,410.74","4,382.05","4,413.84","4,350.07","-","0.65%"
"Jan 29, 2012","4,382.05","4,226.08","4,392.45","4,185.71","-","3.69%"
"Jan 22, 2012","4,226.08","4,278.17","4,282.73","4,205.18","-","-1.22%"
"Jan 15, 2012","4,278.17","4,205.05","4,279.60","4,018.46","-","1.74%"
"Jan 08, 2012","4,205.05","4,201.48","4,237.22","4,182.89","-","0.08%"
"Jan 01, 2012","4,201.48","4,177.53","4,203.79","4,147.86","-","0.57%"
"Dec 25, 2011","4,177.53","4,197.00","4,200.28","4,141.44","-","-0.46%"
"Dec 18, 2011","4,197.00","4,139.90","4,222.11","4,133.14","-","1.38%"
"Dec 11, 2011","4,139.90","4,184.15","4,190.72","4,117.08","-","-1.06%"
"Dec 04, 2011","4,184.15","4,139.79","4,187.97","4,084.44","-","1.07%"
"Nov 27, 2011","4,139.79","3,955.55","4,192.74","3,955.55","-","4.66%"
"Nov 20, 2011","3,955.55","4,265.31","4,266.20","3,955.14","-","-7.26%"
