"Date","Price","Open","High","Low","Vol.","Change %"
"May 19, 2019","5,250.59","5,250.59","5,250.59","5,250.59","-","0.38%"
"May 12, 2019","5,230.78","5,230.78","5,230.78","5,230.78","-","-0.85%"
"May 05, 2019","5,275.83","5,275.83","5,275.83","5,275.83","-","-0.21%"
"Apr 28, 2019","5,286.75","5,286.75","5,286.75","5,286.75","-","0.39%"
"Apr 21, 2019","5,266.17","5,266.17","5,266.17","5,266.17","-","-1.04%"
"Apr 14, 2019","5,321.41","5,321.41","5,321.41","5,321.41","-","-0.09%"
"Apr 07, 2019","5,326.39","5,326.39","5,326.39","5,326.39","-","-2.45%"
"Mar 31, 2019","5,459.91","5,459.91","5,459.91","5,459.91","-","-0.83%"
"Mar 24, 2019","5,505.49","5,505.49","5,505.49","5,505.49","-","-1.16%"
"Mar 17, 2019","5,570.15","5,570.15","5,570.15","5,570.15","-","-1.51%"
"Mar 10, 2019","5,655.81","5,655.81","5,655.81","5,655.81","-","-0.57%"
"Mar 03, 2019","5,688.45","5,688.45","5,688.45","5,688.45","-","-0.41%"
"Feb 24, 2019","5,711.82","5,711.82","5,711.82","5,711.82","-","-0.59%"
"Feb 17, 2019","5,745.83","5,745.83","5,745.83","5,745.83","-","-0.08%"
"Feb 10, 2019","5,750.29","5,750.29","5,750.29","5,750.29","-","-1.06%"
"Feb 03, 2019","5,811.92","5,811.92","5,811.92","5,811.92","-","-0.16%"
"Jan 27, 2019","5,821.01","5,821.01","5,821.01","5,821.01","-","-2.17%"
"Jan 20, 2019","5,950.01","5,950.01","5,950.01","5,950.01","-","2.14%"
"Jan 13, 2019","5,825.57","5,825.57","5,825.57","5,825.57","-","0.49%"
"Jan 06, 2019","5,797.30","5,797.30","5,797.30","5,797.30","-","3.70%"
"Dec 30, 2018","5,590.47","5,590.47","5,590.47","5,590.47","-","3.80%"
"Dec 23, 2018","5,385.64","5,385.64","5,385.64","5,385.64","-","2.29%"
"Dec 16, 2018","5,265.31","5,265.31","5,265.31","5,265.31","-","0.27%"
"Dec 09, 2018","5,251.01","5,251.01","5,251.01","5,251.01","-","-1.53%"
"Dec 02, 2018","5,332.80","5,332.80","5,332.80","5,332.80","-","0.98%"
"Nov 25, 2018","5,281.25","5,281.25","5,281.25","5,281.25","-","-0.47%"
"Nov 18, 2018","5,305.95","5,305.95","5,305.95","5,305.95","-","1.17%"
"Nov 11, 2018","5,244.62","5,244.62","5,244.62","5,244.62","-","-0.28%"
"Nov 04, 2018","5,259.11","5,259.11","5,259.11","5,259.11","-","0.01%"
"Oct 28, 2018","5,258.47","5,258.47","5,258.47","5,258.47","-","-0.45%"
"Oct 21, 2018","5,282.04","5,282.04","5,282.04","5,282.04","-","-1.85%"
"Oct 14, 2018","5,381.51","5,381.51","5,381.51","5,381.51","-","-0.98%"
"Oct 07, 2018","5,435.01","5,435.01","5,435.01","5,435.01","-","0.31%"
"Sep 30, 2018","5,418.27","5,418.27","5,418.27","5,418.27","-","1.41%"
"Sep 23, 2018","5,342.88","5,342.88","5,342.88","5,342.88","-","-2.27%"
"Sep 16, 2018","5,467.05","5,467.05","5,467.05","5,467.05","-","-0.61%"
"Sep 09, 2018","5,500.61","5,500.61","5,500.61","5,500.61","-","-1.32%"
"Sep 02, 2018","5,574.24","5,574.24","5,574.24","5,574.24","-","-0.47%"
"Aug 26, 2018","5,600.64","5,600.64","5,600.64","5,600.64","-","0.53%"
"Aug 19, 2018","5,571.19","5,571.19","5,571.19","5,571.19","-","1.89%"
"Aug 12, 2018","5,467.74","5,467.74","5,467.74","5,467.74","-","1.12%"
"Aug 05, 2018","5,407.00","5,407.00","5,407.00","5,407.00","-","0.13%"
"Jul 29, 2018","5,399.79","5,399.79","5,399.79","5,399.79","-","1.78%"
"Jul 22, 2018","5,305.17","5,305.17","5,305.17","5,305.17","-","-0.60%"
"Jul 15, 2018","5,337.42","5,337.42","5,337.42","5,337.42","-","-0.40%"
"Jul 08, 2018","5,358.90","5,358.90","5,358.90","5,358.90","-","-0.06%"
"Jul 01, 2018","5,362.27","5,362.27","5,362.27","5,362.27","-","-0.80%"
"Jun 24, 2018","5,405.46","5,405.46","5,405.46","5,405.46","-","-0.67%"
"Jun 17, 2018","5,441.75","5,441.75","5,441.75","5,441.75","-","1.43%"
"Jun 10, 2018","5,365.22","5,365.22","5,365.22","5,365.22","-","-0.03%"
"Jun 03, 2018","5,366.66","5,366.66","5,366.66","5,366.66","-","0.43%"
"May 27, 2018","5,343.87","5,343.87","5,343.87","5,343.87","-","-1.58%"
"May 20, 2018","5,429.69","5,429.69","5,429.69","5,429.69","-","-0.25%"
"May 13, 2018","5,443.30","5,443.30","5,443.30","5,443.30","-","-2.58%"
"May 06, 2018","5,587.21","5,587.21","5,587.21","5,587.21","-","-1.96%"
"Apr 29, 2018","5,698.68","5,698.68","5,698.68","5,698.68","-","-1.98%"
"Apr 22, 2018","5,813.79","5,813.79","5,813.79","5,813.79","-","-0.51%"
"Apr 15, 2018","5,843.46","5,843.46","5,843.46","5,843.46","-","0.52%"
