"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2014","594.29","606.55","609.46","582.81","988.96K","-1.24%"
"Mar 16, 2014","601.75","603.05","608.51","597.78","990.46K","0.82%"
"Mar 09, 2014","596.83","580.84","600.68","579.98","783.17K","2.95%"
"Mar 02, 2014","579.75","586.65","587.11","563.55","673.11K","-1.15%"
"Feb 23, 2014","586.48","571.94","596.40","570.07","764.86K","2.79%"
"Feb 16, 2014","570.57","571.91","584.10","565.31","867.51K","-0.29%"
"Feb 09, 2014","572.22","550.41","576.18","548.56","701.27K","4.09%"
"Feb 02, 2014","549.76","555.51","558.51","549.37","214.20K","-1.21%"
"Jan 26, 2014","556.52","560.45","560.49","556.35","67.55K","-0.66%"
"Jan 19, 2014","560.19","548.22","564.61","547.65","493.65K","3.05%"
"Jan 12, 2014","543.59","519.31","549.88","518.78","510.26K","4.75%"
"Jan 05, 2014","518.94","505.74","523.06","504.28","412.07K","2.69%"
"Dec 29, 2013","505.37","506.35","507.02","499.49","268.53K","-0.21%"
"Dec 22, 2013","506.41","506.60","510.09","503.03","429.89K","0.39%"
"Dec 15, 2013","504.45","503.46","508.29","502.04","452.14K","-0.32%"
"Dec 08, 2013","506.06","514.13","514.13","503.76","434.66K","-0.80%"
"Dec 01, 2013","510.12","509.13","514.83","507.10","497.54K","0.46%"
"Nov 24, 2013","507.78","506.94","513.25","504.65","476.98K","0.42%"
"Nov 17, 2013","505.64","503.33","510.21","502.83","599.90K","0.86%"
"Nov 10, 2013","501.34","498.03","502.12","495.68","436.07K","0.55%"
"Nov 03, 2013","498.61","497.25","503.30","495.68","402.17K","0.31%"
"Oct 27, 2013","497.08","501.27","501.86","494.01","265.83K","-0.73%"
"Oct 20, 2013","500.75","501.80","505.74","498.74","430.31K","-0.02%"
"Oct 13, 2013","500.83","494.31","502.64","492.37","292.62K","1.27%"
"Oct 06, 2013","494.53","497.45","502.64","494.53","328.73K","-0.60%"
"Sep 29, 2013","497.50","487.12","497.73","486.70","370.26K","2.24%"
"Sep 22, 2013","486.61","476.79","488.98","475.06","306.03K","1.97%"
"Sep 15, 2013","477.19","478.32","480.16","473.52","236.48K","0.16%"
"Sep 08, 2013","476.42","478.98","478.98","469.39","178.89K","-0.75%"
"Sep 01, 2013","480.03","473.56","480.55","469.30","192.77K","1.55%"
"Aug 25, 2013","472.70","485.26","490.54","462.13","215.47K","-2.90%"
"Aug 18, 2013","486.82","507.27","513.34","482.78","288.70K","-4.13%"
"Aug 11, 2013","507.79","501.35","510.22","496.35","228.32K","1.43%"
"Aug 04, 2013","500.62","494.38","503.51","491.91","160.87K","1.20%"
"Jul 28, 2013","494.66","493.81","495.71","485.56","162.88K","0.15%"
"Jul 21, 2013","493.93","505.11","508.64","487.92","253.50K","-1.95%"
"Jul 14, 2013","503.76","496.12","505.38","492.95","229.17K","1.98%"
"Jul 07, 2013","493.99","485.24","493.99","480.58","190.08K","1.72%"
"Jun 30, 2013","485.66","478.98","492.93","475.26","196.55K","0.94%"
"Jun 23, 2013","481.13","500.44","501.14","466.41","320.24K","-3.55%"
"Jun 16, 2013","498.84","510.52","511.23","495.23","318.25K","-2.00%"
"Jun 09, 2013","509.03","530.97","533.15","509.03","355.99K","-3.59%"
"Jun 02, 2013","527.97","518.30","527.97","508.86","357.94K","1.85%"
"May 26, 2013","518.39","504.38","526.58","504.38","506.21K","3.63%"
"May 19, 2013","500.24","487.71","506.58","485.42","346.83K","2.59%"
"May 12, 2013","487.60","486.96","491.85","480.79","229.43K","0.31%"
"May 05, 2013","486.10","478.94","491.56","478.94","361.44K","2.29%"
"Apr 28, 2013","475.24","474.54","476.42","470.81","52.13K","0.15%"
"Apr 21, 2013","474.51","471.81","479.12","466.78","174.93K","0.27%"
"Apr 14, 2013","473.21","491.65","491.77","466.56","181.61K","-4.26%"
"Apr 07, 2013","494.27","505.00","518.46","490.82","286.47K","-1.65%"
"Mar 31, 2013","502.58","490.66","514.10","489.90","283.74K","2.35%"
"Mar 24, 2013","491.04","491.76","496.32","483.50","209.15K","0.21%"
"Mar 17, 2013","489.99","481.53","500.59","477.55","248.52K","1.79%"
"Mar 10, 2013","481.35","471.29","481.35","469.78","288.25K","2.27%"
"Mar 03, 2013","470.68","477.04","479.06","461.61","248.62K","-1.36%"
"Feb 24, 2013","477.15","481.67","483.97","459.64","324.20K","-0.11%"
"Feb 17, 2013","477.69","497.87","497.87","470.23","483.12K","-3.31%"
"Feb 03, 2013","494.03","487.06","495.72","477.36","319.16K","2.19%"
"Jan 27, 2013","483.42","474.27","490.89","473.23","436.08K","3.28%"
"Jan 20, 2013","468.09","453.91","468.09","440.48","312.93K","3.07%"
"Jan 13, 2013","454.16","458.08","470.34","450.28","435.43K","-1.84%"
"Jan 06, 2013","462.69","428.53","469.16","426.86","488.71K","8.60%"
"Dec 30, 2012","426.06","415.50","426.48","413.68","228.97K","2.98%"
"Dec 23, 2012","413.73","397.25","413.73","396.57","347.31K","4.27%"
"Dec 16, 2012","396.78","391.37","400.71","391.31","352.06K","1.17%"
"Dec 09, 2012","392.21","384.84","394.61","383.53","219.35K","2.19%"
"Dec 02, 2012","383.80","377.94","387.05","375.78","162.15K","1.58%"
"Nov 25, 2012","377.82","382.43","382.62","374.15","132.29K","-1.02%"
"Nov 18, 2012","381.71","384.83","386.22","381.14","108.30K","-1.04%"
"Nov 11, 2012","385.71","386.71","390.65","383.16","145.71K","-0.26%"
"Nov 04, 2012","386.71","372.39","386.79","372.39","156.41K","3.05%"
"Oct 28, 2012","375.26","390.96","392.60","374.98","215.71K","-4.20%"
"Oct 21, 2012","391.70","397.77","399.22","389.50","181.39K","-1.64%"
"Oct 14, 2012","398.23","392.88","400.97","390.72","223.93K","1.45%"
"Oct 07, 2012","392.54","387.83","397.55","387.83","212.97K","1.13%"
"Sep 30, 2012","388.16","391.74","391.86","383.07","146.35K","-1.12%"
"Sep 23, 2012","392.57","392.16","397.86","390.08","141.23K","-0.74%"
"Sep 16, 2012","395.48","400.55","405.27","385.90","285.49K","-0.85%"
"Sep 09, 2012","398.87","395.72","400.09","383.87","200.92K","0.34%"
"Sep 02, 2012","397.51","397.37","404.87","392.56","142.26K","0.38%"
"Aug 26, 2012","396.02","395.37","399.44","379.61","197.55K","-0.93%"
"Aug 19, 2012","399.72","435.33","437.61","378.17","319.18K","-7.78%"
"Aug 12, 2012","433.45","423.79","434.72","423.44","184.60K","1.85%"
"Aug 05, 2012","425.56","419.29","428.21","419.29","182.03K","1.76%"
"Jul 29, 2012","418.21","410.57","419.26","410.08","125.78K","1.22%"
"Jul 22, 2012","413.16","423.31","426.13","412.47","208.15K","-2.66%"
"Jul 15, 2012","424.47","417.54","432.46","411.72","297.12K","1.80%"
"Jul 08, 2012","416.98","413.59","416.98","405.07","182.78K","0.37%"
"Jul 01, 2012","415.44","421.94","424.95","408.43","184.36K","-1.64%"
"Jun 24, 2012","422.37","426.54","429.81","415.34","255.90K","-1.12%"
"Jun 17, 2012","427.17","436.89","439.29","426.50","257.40K","-1.37%"
"Jun 10, 2012","433.09","432.15","435.86","424.05","328.92K","0.04%"
"Jun 03, 2012","432.90","426.91","441.46","413.58","490.54K","0.96%"
"May 27, 2012","428.80","443.24","443.24","427.98","283.90K","-1.96%"
"May 20, 2012","437.38","438.53","453.70","425.65","363.65K","0.56%"
"May 13, 2012","434.95","477.73","483.15","430.29","452.20K","-9.40%"
"May 06, 2012","480.10","481.95","492.44","479.87","596.60K","0.79%"
"Apr 29, 2012","476.32","476.02","478.44","465.00","330.27K","0.54%"
"Apr 22, 2012","473.77","466.80","475.44","460.60","425.31K","1.73%"
"Apr 15, 2012","465.72","465.06","478.87","461.76","602.39K","0.69%"
"Apr 08, 2012","462.52","450.55","468.38","448.17","482.03K","3.37%"
"Apr 01, 2012","447.44","440.95","450.23","436.67","263.32K","1.45%"
"Mar 25, 2012","441.03","458.21","459.26","437.05","438.52K","-2.88%"
"Mar 18, 2012","454.10","435.82","455.16","433.60","389.42K","3.55%"
"Mar 11, 2012","438.52","429.83","450.32","423.43","421.18K","1.48%"
"Mar 04, 2012","432.11","448.66","468.15","424.43","528.65K","-1.70%"
"Feb 26, 2012","439.60","426.03","439.60","418.01","484.30K","3.82%"
"Feb 19, 2012","423.43","409.83","429.42","408.98","308.87K","4.99%"
"Feb 12, 2012","403.30","402.37","403.30","391.08","192.41K","-0.42%"
"Feb 05, 2012","405.02","402.36","414.60","394.91","215.96K","0.82%"
"Jan 29, 2012","401.74","375.10","411.38","373.10","212.37K","7.71%"
"Jan 15, 2012","373.00","356.77","378.07","355.97","123.82K","5.27%"
"Jan 08, 2012","354.33","334.93","354.33","332.28","283.29K","5.23%"
"Jan 01, 2012","336.73","351.37","354.02","336.49","95.79K","-4.22%"
"Dec 25, 2011","351.55","356.15","356.15","346.48","262.54K","-1.31%"
"Dec 18, 2011","356.21","365.71","369.48","352.21","206.24K","-2.68%"
"Dec 11, 2011","366.03","376.97","378.82","360.16","236.30K","-2.95%"
"Dec 04, 2011","377.16","385.82","396.29","375.67","177.21K","-1.75%"
"Nov 27, 2011","383.88","386.04","388.98","377.03","140.04K","0.14%"
"Nov 20, 2011","383.35","380.40","389.29","375.93","143.17K","0.98%"
"Nov 13, 2011","379.62","397.52","397.70","377.46","175.70K","-4.21%"
"Nov 06, 2011","396.30","409.78","413.94","396.30","151.76K","-3.48%"
"Oct 30, 2011","410.57","426.89","428.86","405.72","176.18K","-2.72%"
"Oct 23, 2011","422.07","415.90","422.45","409.38","132.32K","2.69%"
"Oct 16, 2011","411.03","415.52","415.52","399.08","126.15K","-0.83%"
"Oct 09, 2011","414.49","416.77","421.52","407.61","137.67K","-0.83%"
"Oct 02, 2011","417.96","426.43","428.28","415.35","167.81K","-2.25%"
"Sep 25, 2011","427.60","436.63","444.40","424.64","225.58K","-2.88%"
"Sep 18, 2011","440.30","450.21","461.68","438.58","226.40K","-3.68%"
"Sep 11, 2011","457.11","461.14","475.45","457.11","331.52K","-0.61%"
"Sep 04, 2011","459.92","438.35","460.17","430.82","246.28K","5.66%"
"Aug 28, 2011","435.29","405.89","435.29","405.26","183.75K","7.64%"
"Aug 21, 2011","404.41","401.87","406.75","396.68","148.29K","0.91%"
"Aug 14, 2011","400.76","384.47","402.89","383.37","130.76K","4.39%"
"Aug 07, 2011","383.92","399.24","400.69","379.84","133.59K","-4.23%"
"Jul 31, 2011","400.88","404.84","404.91","388.79","208.80K","-1.19%"
"Jul 24, 2011","405.70","409.11","411.36","402.20","107.25K","-0.86%"
"Jul 17, 2011","409.20","412.90","417.06","408.96","94.54K","-1.34%"
"Jul 10, 2011","414.74","429.41","429.63","412.52","137.35K","-3.62%"
"Jul 03, 2011","430.32","425.04","434.07","423.39","114.80K","1.18%"
"Jun 26, 2011","425.29","436.95","438.53","424.26","120.45K","-1.87%"
"Jun 19, 2011","433.40","438.13","445.49","431.59","140.33K","-1.26%"
"Jun 12, 2011","438.93","443.49","452.55","436.24","251.33K","-1.36%"
"Jun 05, 2011","445.00","434.97","451.81","430.15","166.76K","0.36%"
"May 29, 2011","443.41","417.07","461.93","412.00","165.80K","7.93%"
"May 22, 2011","410.82","429.74","430.54","371.03","183.45K","-5.09%"
"May 15, 2011","432.87","479.01","481.51","432.24","130.21K","-9.76%"
