"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 28, 2016","659.09","660.07","666.70","654.66","168.41K","0.36%"
"Aug 21, 2016","656.71","654.43","659.34","642.50","224.02K","0.35%"
"Aug 14, 2016","654.42","640.59","659.43","639.08","265.63K","2.08%"
"Aug 07, 2016","641.11","614.38","652.87","609.21","245.28K","4.24%"
"Jul 31, 2016","615.06","642.04","642.04","608.84","230.45K","-3.77%"
"Jul 24, 2016","639.17","636.37","645.39","627.97","215.58K","0.76%"
"Jul 17, 2016","634.34","653.82","665.11","626.40","269.19K","-2.95%"
"Jul 10, 2016","653.63","643.77","664.43","633.50","280.20K","1.56%"
"Jul 03, 2016","643.56","629.19","648.73","629.19","239.72K","2.75%"
"Jun 26, 2016","626.34","609.64","630.61","601.71","190.85K","2.23%"
"Jun 19, 2016","612.69","615.98","631.02","591.44","255.96K","-0.50%"
"Jun 12, 2016","615.75","626.68","627.46","615.39","233.20K","-2.15%"
"Jun 05, 2016","629.27","620.61","634.07","615.91","215.70K","1.32%"
"May 29, 2016","621.05","612.40","622.88","611.83","191.76K","1.64%"
"May 22, 2016","611.00","616.81","618.61","605.16","158.30K","-0.88%"
"May 15, 2016","616.40","612.03","628.30","608.96","204.08K","1.05%"
"May 08, 2016","609.97","610.78","615.57","597.91","186.24K","0.40%"
"May 01, 2016","607.55","600.63","610.19","597.40","134.73K","1.05%"
"Apr 24, 2016","601.25","599.85","604.12","593.35","238.13K","0.99%"
"Apr 17, 2016","595.38","584.14","595.48","572.14","157.32K","1.87%"
"Apr 10, 2016","584.47","580.79","591.76","580.65","209.79K","0.95%"
"Apr 03, 2016","578.97","568.01","581.39","563.05","171.64K","1.88%"
"Mar 27, 2016","568.27","578.45","583.29","566.81","198.58K","-1.72%"
"Mar 20, 2016","578.24","582.85","587.78","571.71","225.73K","-0.64%"
"Mar 13, 2016","581.95","586.63","590.98","581.40","275.06K","-0.33%"
"Mar 06, 2016","583.89","582.60","588.46","580.19","225.35K","0.51%"
"Feb 28, 2016","580.94","576.98","583.73","570.66","222.60K","0.56%"
"Feb 21, 2016","577.71","567.87","583.87","567.87","288.16K","1.80%"
"Feb 14, 2016","567.51","558.64","569.38","554.24","232.71K","0.63%"
"Jan 31, 2016","563.97","562.40","565.97","549.01","139.70K","0.42%"
"Jan 24, 2016","561.61","546.87","562.79","546.87","252.22K","4.12%"
"Jan 17, 2016","539.37","543.44","551.88","531.53","308.16K","-2.95%"
"Jan 10, 2016","555.76","574.95","584.03","555.76","261.19K","-3.51%"
"Jan 03, 2016","575.96","593.31","594.68","571.96","210.32K","-3.29%"
"Dec 27, 2015","595.57","583.14","595.57","579.18","131.94K","2.81%"
"Dec 20, 2015","579.32","581.36","581.92","572.22","135.87K","0.08%"
"Dec 13, 2015","578.85","581.57","590.01","577.68","237.21K","0.15%"
"Dec 06, 2015","578.01","581.62","587.62","568.51","168.01K","-0.85%"
"Nov 29, 2015","582.96","589.57","589.76","578.88","189.69K","-1.29%"
"Nov 22, 2015","590.59","611.14","615.96","590.59","262.36K","-3.37%"
"Nov 15, 2015","611.16","620.95","622.51","608.12","247.87K","-1.80%"
"Nov 08, 2015","622.34","623.50","623.50","603.06","234.30K","-0.05%"
"Nov 01, 2015","622.67","619.89","630.60","611.30","174.67K","0.56%"
"Oct 25, 2015","619.21","619.09","622.09","608.89","174.84K","0.51%"
"Oct 18, 2015","616.07","610.96","617.16","603.84","196.33K","1.04%"
"Oct 11, 2015","609.73","605.87","616.35","605.29","228.79K","0.68%"
"Oct 04, 2015","605.60","582.94","611.15","582.16","294.35K","4.28%"
"Sep 27, 2015","580.74","588.69","589.64","575.06","117.20K","-1.25%"
"Sep 20, 2015","588.11","583.37","593.93","582.81","142.91K","0.92%"
"Sep 13, 2015","582.73","583.07","586.19","570.59","155.14K","-0.09%"
"Sep 06, 2015","583.27","577.17","591.10","572.85","150.24K","0.78%"
"Aug 30, 2015","578.78","596.58","596.58","572.64","129.37K","-3.18%"
"Aug 23, 2015","597.81","580.86","597.81","544.10","344.12K","1.70%"
"Aug 16, 2015","587.83","618.99","621.01","572.16","275.24K","-5.03%"
"Aug 09, 2015","618.94","637.58","649.99","615.55","217.71K","-3.05%"
"Aug 02, 2015","638.40","642.46","642.61","631.27","196.54K","-1.38%"
"Jul 26, 2015","647.36","658.63","668.80","647.36","261.66K","-1.61%"
"Jul 19, 2015","657.97","646.69","662.05","636.91","209.00K","1.07%"
"Jul 12, 2015","651.03","652.37","661.97","644.13","249.44K","0.35%"
"Jul 05, 2015","648.73","643.19","656.46","635.73","349.19K","1.38%"
"Jun 28, 2015","639.87","608.75","639.87","608.75","278.41K","5.08%"
"Jun 21, 2015","608.92","608.00","617.82","606.18","321.20K","0.94%"
"Jun 14, 2015","603.26","605.47","607.60","595.35","373.73K","-0.17%"
"Jun 07, 2015","604.29","592.22","604.63","590.69","346.61K","2.04%"
"May 31, 2015","592.22","590.44","597.20","585.42","268.59K","0.49%"
"May 24, 2015","589.32","585.08","599.22","582.45","270.07K","0.47%"
"May 17, 2015","586.58","559.99","586.58","552.46","230.28K","4.40%"
"May 10, 2015","561.87","582.99","585.88","561.87","169.18K","-3.61%"
"May 03, 2015","582.91","589.54","593.95","571.07","153.22K","-1.73%"
"Apr 26, 2015","593.15","599.99","600.36","593.15","16.77K","-0.49%"
"Apr 19, 2015","596.10","599.66","599.89","589.61","125.82K","-0.50%"
"Apr 12, 2015","599.12","586.09","602.83","585.86","161.64K","2.71%"
"Apr 05, 2015","583.34","578.14","586.90","570.09","143.62K","0.98%"
"Mar 29, 2015","577.66","583.22","584.99","567.48","189.98K","-0.92%"
"Mar 22, 2015","583.02","604.09","607.40","580.34","183.97K","-3.44%"
"Mar 15, 2015","603.76","613.99","616.42","599.91","283.55K","-2.14%"
"Mar 08, 2015","616.94","623.73","628.07","616.52","203.74K","-0.93%"
"Mar 01, 2015","622.75","619.20","630.72","615.39","199.97K","0.71%"
"Feb 22, 2015","618.39","619.48","627.94","618.09","141.96K","0.19%"
"Feb 15, 2015","617.20","617.20","617.20","617.20","-","0.00%"
"Feb 08, 2015","617.20","595.69","618.46","594.72","154.75K","3.61%"
"Feb 01, 2015","595.69","606.02","609.79","581.24","165.14K","-1.79%"
"Jan 25, 2015","606.54","618.14","619.21","604.98","199.89K","-1.40%"
"Jan 18, 2015","615.16","616.91","618.90","604.35","171.53K","0.07%"
"Jan 11, 2015","614.72","618.04","624.18","611.90","262.92K","-0.60%"
"Jan 04, 2015","618.41","600.48","619.52","593.46","238.04K","2.78%"
"Dec 28, 2014","601.66","583.36","601.93","578.33","146.10K","3.30%"
"Dec 21, 2014","582.45","577.08","594.41","576.98","167.01K","2.07%"
"Dec 14, 2014","570.61","607.56","610.59","563.92","329.11K","-6.35%"
"Dec 07, 2014","609.33","622.90","623.85","597.97","235.44K","-2.46%"
"Nov 30, 2014","624.67","612.86","628.13","612.68","223.47K","2.21%"
"Nov 23, 2014","611.15","620.57","625.92","609.70","262.69K","-2.02%"
"Nov 16, 2014","623.74","639.53","640.93","623.66","290.18K","-2.22%"
"Nov 09, 2014","637.90","644.05","647.10","632.28","285.11K","-0.76%"
"Nov 02, 2014","642.77","644.03","646.76","633.89","201.82K","0.62%"
"Oct 26, 2014","638.78","626.19","638.78","613.23","227.96K","1.47%"
"Oct 19, 2014","629.52","624.98","639.55","622.21","201.48K","0.76%"
"Oct 12, 2014","624.77","650.76","653.69","613.76","243.43K","-4.14%"
"Oct 05, 2014","651.72","658.84","663.65","651.52","265.20K","-1.14%"
"Sep 28, 2014","659.25","650.08","663.54","637.85","322.19K","1.48%"
"Sep 21, 2014","649.63","659.72","663.41","642.83","246.93K","-0.75%"
"Sep 14, 2014","654.54","670.67","674.09","654.54","464.39K","-2.28%"
"Sep 07, 2014","669.78","681.26","683.36","653.53","321.55K","-1.16%"
"Aug 31, 2014","677.62","681.09","684.82","675.32","193.18K","0.12%"
"Aug 24, 2014","676.82","659.13","678.68","657.74","342.90K","3.34%"
"Aug 17, 2014","654.96","646.35","657.39","643.29","303.51K","1.52%"
"Aug 10, 2014","645.13","639.43","650.49","635.82","209.82K","0.50%"
"Aug 03, 2014","641.93","631.14","647.63","631.14","191.73K","1.09%"
"Jul 27, 2014","635.01","640.13","640.27","627.24","166.59K","-1.08%"
"Jul 20, 2014","641.96","644.77","650.97","638.97","122.20K","-0.55%"
"Jul 13, 2014","645.52","628.48","645.52","627.08","137.36K","2.94%"
"Jul 06, 2014","627.10","635.49","639.55","623.73","153.96K","-0.62%"
"Jun 29, 2014","631.02","617.01","633.22","615.06","157.85K","2.30%"
"Jun 22, 2014","616.85","609.03","622.37","608.67","121.15K","1.58%"
"Jun 15, 2014","607.23","619.98","622.73","606.96","185.29K","-1.70%"
"Jun 08, 2014","617.73","609.20","620.84","606.30","135.80K","1.52%"
"Jun 01, 2014","608.48","614.74","617.68","597.70","91.32K","-1.54%"
"May 25, 2014","618.00","594.04","622.35","588.05","154.97K","3.98%"
"May 18, 2014","594.35","582.54","600.15","577.93","150.91K","2.13%"
"May 11, 2014","581.93","578.81","589.78","552.56","192.64K","-1.02%"
"May 04, 2014","587.91","631.64","631.95","568.97","188.93K","-6.99%"
"Apr 27, 2014","632.10","636.49","638.27","626.58","35.40K","-0.67%"
"Apr 20, 2014","636.35","619.86","637.46","612.23","124.69K","2.45%"
"Apr 13, 2014","621.13","668.96","668.96","621.13","211.90K","-6.72%"
"Apr 06, 2014","665.85","669.30","677.09","662.13","162.32K","-0.22%"
"Mar 30, 2014","667.33","677.70","678.81","649.14","222.44K","-1.33%"
"Mar 23, 2014","676.31","688.29","692.83","658.32","316.58K","-0.54%"
"Mar 16, 2014","679.98","672.54","688.70","669.54","363.48K","1.73%"
"Mar 09, 2014","668.39","652.54","673.91","651.78","249.60K","2.60%"
"Mar 02, 2014","651.46","663.17","663.48","631.93","218.12K","-1.86%"
"Feb 23, 2014","663.81","641.39","677.66","638.10","281.19K","3.82%"
"Feb 16, 2014","639.37","638.47","654.31","630.10","288.22K","-0.32%"
"Feb 09, 2014","641.41","622.93","645.94","622.46","256.83K","2.98%"
"Feb 02, 2014","622.82","623.08","632.24","619.05","75.84K","-0.30%"
"Jan 26, 2014","624.70","625.63","625.77","622.31","28.15K","-0.51%"
"Jan 19, 2014","627.91","607.09","640.05","607.09","176.41K","3.70%"
"Jan 12, 2014","605.50","576.52","612.23","575.50","171.72K","5.09%"
"Jan 05, 2014","576.16","563.89","581.07","561.12","123.80K","2.37%"
"Dec 29, 2013","562.80","562.27","564.33","554.68","71.05K","0.09%"
"Dec 22, 2013","562.28","562.86","567.01","559.99","89.21K","0.29%"
"Dec 15, 2013","560.68","563.59","568.03","560.68","105.42K","-1.02%"
"Dec 08, 2013","566.47","574.92","575.59","562.55","117.65K","-0.64%"
"Dec 01, 2013","570.11","569.66","575.72","567.24","126.47K","0.18%"
"Nov 24, 2013","569.06","566.66","573.34","565.31","109.46K","0.49%"
"Nov 17, 2013","566.28","562.54","571.65","562.54","143.95K","1.17%"
"Nov 10, 2013","559.75","557.02","559.95","552.35","110.48K","0.53%"
"Nov 03, 2013","556.78","555.49","562.75","552.24","99.94K","0.37%"
"Oct 27, 2013","554.73","560.40","560.84","552.54","62.88K","-1.04%"
"Oct 20, 2013","560.57","561.28","566.53","558.61","131.32K","0.21%"
"Oct 13, 2013","559.38","551.29","560.31","549.63","94.28K","1.31%"
"Oct 06, 2013","552.16","552.55","560.36","551.86","109.25K","0.02%"
"Sep 29, 2013","552.07","546.10","555.21","545.43","123.55K","1.21%"
"Sep 22, 2013","545.49","535.47","549.39","534.19","102.60K","1.47%"
"Sep 15, 2013","537.57","532.54","537.57","529.56","120.76K","1.20%"
"Sep 08, 2013","531.21","534.22","534.42","523.38","54.63K","-0.67%"
"Sep 01, 2013","534.80","531.15","535.44","522.86","51.36K","0.67%"
"Aug 25, 2013","531.23","541.29","543.38","517.75","84.35K","-2.00%"
"Aug 18, 2013","542.08","559.07","565.56","537.73","104.35K","-3.05%"
"Aug 11, 2013","559.16","553.18","561.12","547.53","73.99K","1.25%"
"Aug 04, 2013","552.27","544.55","556.75","544.17","52.92K","1.22%"
"Jul 28, 2013","545.59","544.40","546.63","536.51","50.34K","0.13%"
"Jul 21, 2013","544.88","557.23","560.49","539.83","107.72K","-2.10%"
"Jul 14, 2013","556.56","551.41","557.45","547.04","96.35K","1.51%"
