"Date","Price","Open","High","Low","Change %"
"Nov 25, 2011","11.926","11.926","11.926","11.926","0.02%"
"Nov 24, 2011","11.924","11.924","11.924","11.924","0.01%"
"Nov 23, 2011","11.923","11.923","11.923","11.923","0.01%"
"Nov 22, 2011","11.922","11.922","11.922","11.922","0.18%"
"Nov 21, 2011","11.900","11.900","11.900","11.900","-0.53%"
"Nov 18, 2011","11.963","11.963","11.963","11.963","0.02%"
"Nov 17, 2011","11.961","11.961","11.961","11.961","0.00%"
"Nov 16, 2011","11.961","11.961","11.961","11.961","0.01%"
"Nov 15, 2011","11.960","11.960","11.960","11.960","0.01%"
"Nov 14, 2011","11.959","11.959","11.959","11.959","0.00%"
"Nov 11, 2011","11.959","11.959","11.959","11.959","0.84%"
"Nov 10, 2011","11.859","11.859","11.859","11.859","-0.73%"
"Nov 09, 2011","11.946","11.946","11.946","11.946","0.18%"
"Nov 08, 2011","11.925","11.925","11.925","11.925","0.00%"
"Nov 07, 2011","11.925","11.925","11.925","11.925","-0.41%"
"Nov 04, 2011","11.974","11.974","11.974","11.974","0.01%"
"Nov 03, 2011","11.973","11.973","11.973","11.973","0.01%"
"Nov 02, 2011","11.972","11.972","11.972","11.972","-0.04%"
"Nov 01, 2011","11.977","11.977","11.977","11.977","0.00%"
"Oct 31, 2011","11.977","11.977","11.977","11.977","0.77%"
"Oct 28, 2011","11.885","11.885","11.885","11.885","-0.70%"
"Oct 27, 2011","11.969","11.969","11.969","11.969","0.25%"
"Oct 26, 2011","11.939","11.939","11.939","11.939","-0.38%"
"Oct 25, 2011","11.985","11.985","11.985","11.985","0.12%"
"Oct 24, 2011","11.971","11.971","11.971","11.971","0.15%"
"Oct 21, 2011","11.953","11.953","11.953","11.953","-0.18%"
"Oct 20, 2011","11.975","11.975","11.975","11.975","0.20%"
"Oct 19, 2011","11.951","11.951","11.951","11.951","0.00%"
"Oct 18, 2011","11.951","11.951","11.951","11.951","-0.30%"
"Oct 17, 2011","11.987","11.987","11.987","11.987","0.12%"
"Oct 14, 2011","11.973","11.973","11.973","11.973","-0.23%"
"Oct 13, 2011","12.001","12.001","12.001","12.001","0.00%"
"Oct 12, 2011","12.001","12.001","12.001","12.001","0.78%"
"Oct 11, 2011","11.908","11.908","11.908","11.908","-0.19%"
"Oct 10, 2011","11.931","11.931","11.931","11.931","0.00%"
"Oct 07, 2011","11.931","11.931","11.931","11.931","0.01%"
"Oct 06, 2011","11.930","11.930","11.930","11.930","0.00%"
