"Date","Price","Open","High","Low","Change %"
"Aug 08, 2018","5.033","5.033","5.033","5.033","-0.02%"
"Aug 07, 2018","5.034","5.034","5.034","5.034","-0.06%"
"Aug 06, 2018","5.037","5.037","5.037","5.037","0.00%"
"Aug 03, 2018","5.037","5.037","5.037","5.037","1.55%"
"Aug 02, 2018","4.960","4.960","4.960","4.960","0.18%"
"Aug 01, 2018","4.951","4.951","4.951","4.951","0.57%"
"Jul 31, 2018","4.923","4.923","4.923","4.923","-1.05%"
"Jul 30, 2018","4.975","4.975","4.975","4.975","1.82%"
"Jul 27, 2018","4.886","4.886","4.886","4.886","0.39%"
"Jul 26, 2018","4.867","4.867","4.867","4.867","-1.30%"
"Jul 25, 2018","4.931","4.931","4.931","4.931","1.05%"
"Jul 24, 2018","4.880","4.880","4.880","4.880","-0.02%"
"Jul 23, 2018","4.881","4.881","4.881","4.881","0.56%"
"Jul 20, 2018","4.854","4.854","4.854","4.854","-0.04%"
"Jul 19, 2018","4.856","4.856","4.856","4.856","0.10%"
"Jul 18, 2018","4.851","4.851","4.851","4.851","-0.04%"
"Jul 17, 2018","4.853","4.853","4.853","4.853","0.29%"
"Jul 16, 2018","4.839","4.839","4.839","4.839","0.00%"
"Jul 13, 2018","4.839","4.839","4.839","4.839","-0.10%"
"Jul 12, 2018","4.844","4.844","4.844","4.844","0.00%"
"Jul 11, 2018","4.844","4.844","4.844","4.844","0.00%"
"Jul 10, 2018","4.844","4.844","4.844","4.844","-0.02%"
"Jul 09, 2018","4.845","4.845","4.845","4.845","-0.10%"
"Jul 06, 2018","4.850","4.850","4.850","4.850","0.00%"
"Jul 05, 2018","4.850","4.850","4.850","4.850","0.62%"
"Jul 04, 2018","4.820","4.820","4.820","4.820","0.00%"
"Jul 03, 2018","4.820","4.820","4.820","4.820","1.64%"
"Jul 02, 2018","4.742","4.742","4.742","4.742","-0.02%"
"Jun 29, 2018","4.743","4.743","4.743","4.743","0.19%"
"Jun 28, 2018","4.734","4.734","4.734","4.734","-0.46%"
"Jun 27, 2018","4.756","4.756","4.756","4.756","0.00%"
"Jun 26, 2018","4.756","4.756","4.756","4.756","0.32%"
"Jun 25, 2018","4.741","4.741","4.741","4.741","0.25%"
"Jun 22, 2018","4.729","4.729","4.729","4.729","-0.13%"
"Jun 21, 2018","4.735","4.735","4.735","4.735","-0.29%"
"Jun 20, 2018","4.749","4.749","4.749","4.749","0.19%"
"Jun 19, 2018","4.740","4.740","4.740","4.740","0.28%"
"Jun 18, 2018","4.727","4.727","4.727","4.727","-0.25%"
"Jun 15, 2018","4.739","4.739","4.739","4.739","0.62%"
"Jun 14, 2018","4.710","4.710","4.710","4.710","-0.44%"
"Jun 13, 2018","4.731","4.731","4.731","4.731","0.94%"
"Jun 12, 2018","4.687","4.687","4.687","4.687","0.00%"
"Jun 11, 2018","4.687","4.687","4.687","4.687","0.02%"
"Jun 08, 2018","4.686","4.686","4.686","4.686","-0.04%"
"Jun 07, 2018","4.688","4.688","4.688","4.688","0.06%"
"Jun 06, 2018","4.685","4.685","4.685","4.685","0.32%"
"Jun 05, 2018","4.670","4.670","4.670","4.670","0.17%"
"Jun 04, 2018","4.662","4.662","4.662","4.662","-0.04%"
"Jun 01, 2018","4.664","4.664","4.664","4.664","0.13%"
"May 31, 2018","4.658","4.658","4.658","4.658","1.02%"
"May 30, 2018","4.611","4.611","4.611","4.611","-0.13%"
"May 29, 2018","4.617","4.617","4.617","4.617","1.09%"
"May 28, 2018","4.567","4.567","4.567","4.567","-0.52%"
"May 25, 2018","4.591","4.591","4.591","4.591","0.57%"
"May 24, 2018","4.565","4.565","4.565","4.565","0.02%"
"May 23, 2018","4.564","4.564","4.564","4.564","0.09%"
"May 22, 2018","4.560","4.560","4.560","4.560","-0.04%"
"May 21, 2018","4.562","4.562","4.562","4.562","0.51%"
"May 20, 2018","4.539","4.539","4.539","4.539","0.00%"
"May 18, 2018","4.539","4.539","4.539","4.539","-0.66%"
"May 17, 2018","4.569","4.569","4.569","4.569","0.46%"
"May 16, 2018","4.548","4.548","4.548","4.548","0.09%"
"May 15, 2018","4.544","4.544","4.544","4.544","-0.26%"
"May 14, 2018","4.556","4.556","4.556","4.556","0.09%"
"May 11, 2018","4.552","4.552","4.552","4.552","-0.04%"
"May 10, 2018","4.554","4.554","4.554","4.554","-0.11%"
"May 09, 2018","4.559","4.559","4.559","4.559","0.18%"
"May 08, 2018","4.551","4.551","4.551","4.551","0.04%"
"May 07, 2018","4.549","4.549","4.549","4.549","-0.66%"
"May 04, 2018","4.579","4.579","4.579","4.579","-1.29%"
"May 03, 2018","4.639","4.639","4.639","4.639","-0.49%"
"May 02, 2018","4.662","4.662","4.662","4.662","-0.43%"
"May 01, 2018","4.682","4.682","4.682","4.682","0.00%"
"Apr 30, 2018","4.682","4.682","4.682","4.682","0.00%"
"Apr 27, 2018","4.682","4.682","4.682","4.682","6.34%"
"Apr 26, 2018","4.403","4.403","4.403","4.403","-0.02%"
"Apr 25, 2018","4.404","4.404","4.404","4.404","0.00%"
"Apr 24, 2018","4.404","4.404","4.404","4.404","0.32%"
"Apr 23, 2018","4.390","4.390","4.390","4.390","-0.05%"
"Apr 20, 2018","4.392","4.392","4.392","4.392","0.32%"
"Apr 19, 2018","4.378","4.378","4.378","4.378","0.09%"
"Apr 18, 2018","4.374","4.374","4.374","4.374","0.02%"
"Apr 17, 2018","4.373","4.373","4.373","4.373","0.00%"
"Apr 16, 2018","4.373","4.373","4.373","4.373","0.32%"
"Apr 13, 2018","4.359","4.359","4.359","4.359","-0.25%"
"Apr 12, 2018","4.370","4.370","4.370","4.370","0.85%"
"Apr 11, 2018","4.333","4.333","4.333","4.333","0.53%"
"Apr 10, 2018","4.310","4.310","4.310","4.310","0.58%"
"Apr 09, 2018","4.285","4.285","4.285","4.285","0.00%"
"Apr 06, 2018","4.285","4.285","4.285","4.285","1.42%"
"Apr 05, 2018","4.225","4.225","4.225","4.225","0.40%"
"Apr 04, 2018","4.208","4.208","4.208","4.208","0.74%"
"Apr 03, 2018","4.177","4.177","4.177","4.177","-0.31%"
"Apr 02, 2018","4.190","4.190","4.190","4.190","-0.14%"
"Mar 30, 2018","4.196","4.196","4.196","4.196","-0.47%"
"Mar 29, 2018","4.216","4.216","4.216","4.216","1.22%"
"Mar 28, 2018","4.165","4.165","4.165","4.165","0.34%"
"Mar 27, 2018","4.151","4.151","4.151","4.151","-0.12%"
"Mar 26, 2018","4.156","4.156","4.156","4.156","-0.22%"
"Mar 23, 2018","4.165","4.165","4.165","4.165","0.17%"
"Mar 22, 2018","4.158","4.158","4.158","4.158","-0.02%"
"Mar 21, 2018","4.159","4.159","4.159","4.159","0.10%"
"Mar 20, 2018","4.155","4.155","4.155","4.155","0.10%"
"Mar 19, 2018","4.151","4.151","4.151","4.151","-0.22%"
"Mar 16, 2018","4.160","4.160","4.160","4.160","0.12%"
"Mar 15, 2018","4.155","4.155","4.155","4.155","-0.07%"
"Mar 14, 2018","4.158","4.158","4.158","4.158","0.24%"
"Mar 13, 2018","4.148","4.148","4.148","4.148","-0.14%"
"Mar 12, 2018","4.154","4.154","4.154","4.154","0.02%"
"Mar 09, 2018","4.153","4.153","4.153","4.153","0.95%"
"Mar 08, 2018","4.114","4.114","4.114","4.114","0.29%"
"Mar 07, 2018","4.102","4.102","4.102","4.102","-1.28%"
"Mar 06, 2018","4.155","4.155","4.155","4.155","-0.12%"
"Mar 05, 2018","4.160","4.160","4.160","4.160","-0.93%"
"Mar 02, 2018","4.199","4.199","4.199","4.199","0.70%"
"Mar 01, 2018","4.170","4.170","4.170","4.170","-3.18%"
"Feb 28, 2018","4.307","4.307","4.307","4.307","0.09%"
"Feb 27, 2018","4.303","4.303","4.303","4.303","1.08%"
"Feb 26, 2018","4.257","4.257","4.257","4.257","-0.21%"
"Feb 23, 2018","4.266","4.266","4.266","4.266","-0.58%"
"Feb 22, 2018","4.291","4.291","4.291","4.291","-1.22%"
"Feb 21, 2018","4.344","4.344","4.344","4.344","-0.39%"
"Feb 20, 2018","4.361","4.361","4.361","4.361","0.00%"
"Feb 19, 2018","4.361","4.361","4.361","4.361","0.00%"
"Feb 18, 2018","4.361","4.361","4.361","4.361","0.00%"
"Feb 16, 2018","4.361","4.361","4.361","4.361","0.00%"
"Feb 15, 2018","4.361","4.361","4.361","4.361","0.00%"
"Feb 14, 2018","4.361","4.361","4.361","4.361","0.00%"
"Feb 13, 2018","4.361","4.361","4.361","4.361","0.30%"
"Feb 12, 2018","4.348","4.348","4.348","4.348","-0.82%"
"Feb 09, 2018","4.384","4.384","4.384","4.384","0.18%"
"Feb 08, 2018","4.376","4.376","4.376","4.376","-0.52%"
"Feb 07, 2018","4.399","4.399","4.399","4.399","-1.70%"
"Feb 06, 2018","4.475","4.475","4.475","4.475","4.22%"
"Feb 05, 2018","4.294","4.294","4.294","4.294","-0.21%"
"Feb 02, 2018","4.303","4.303","4.303","4.303","-2.12%"
"Feb 01, 2018","4.396","4.396","4.396","4.396","7.27%"
"Jan 31, 2018","4.098","4.098","4.098","4.098","-0.53%"
"Jan 30, 2018","4.120","4.120","4.120","4.120","1.23%"
"Jan 29, 2018","4.070","4.070","4.070","4.070","-0.61%"
"Jan 26, 2018","4.095","4.095","4.095","4.095","-4.14%"
"Jan 25, 2018","4.272","4.272","4.272","4.272","-4.79%"
"Jan 24, 2018","4.487","4.487","4.487","4.487","-0.71%"
"Jan 23, 2018","4.519","4.519","4.519","4.519","-0.26%"
"Jan 22, 2018","4.531","4.531","4.531","4.531","-0.61%"
"Jan 19, 2018","4.559","4.559","4.559","4.559","1.70%"
"Jan 18, 2018","4.483","4.483","4.483","4.483","-3.72%"
"Jan 17, 2018","4.656","4.656","4.656","4.656","-1.73%"
"Jan 16, 2018","4.738","4.738","4.738","4.738","0.40%"
"Jan 15, 2018","4.719","4.719","4.719","4.719","0.04%"
"Jan 12, 2018","4.717","4.717","4.717","4.717","0.36%"
"Jan 11, 2018","4.700","4.700","4.700","4.700","-5.85%"
"Jan 10, 2018","4.992","4.992","4.992","4.992","-1.52%"
"Jan 09, 2018","5.069","5.069","5.069","5.069","-0.71%"
"Jan 08, 2018","5.105","5.105","5.105","5.105","-0.02%"
"Jan 05, 2018","5.106","5.106","5.106","5.106","0.41%"
"Jan 04, 2018","5.085","5.085","5.085","5.085","0.75%"
"Jan 03, 2018","5.047","5.047","5.047","5.047","-0.04%"
"Jan 02, 2018","5.049","5.049","5.049","5.049","-0.08%"
"Jan 01, 2018","5.053","5.053","5.053","5.053","0.00%"
"Dec 29, 2017","5.053","5.053","5.053","5.053","0.50%"
"Dec 28, 2017","5.028","5.028","5.028","5.028","-0.04%"
"Dec 27, 2017","5.030","5.030","5.030","5.030","0.24%"
"Dec 26, 2017","5.018","5.018","5.018","5.018","0.36%"
"Dec 25, 2017","5.000","5.000","5.000","5.000","-0.32%"
"Dec 22, 2017","5.016","5.016","5.016","5.016","-0.67%"
"Dec 21, 2017","5.050","5.050","5.050","5.050","-1.90%"
"Dec 20, 2017","5.148","5.148","5.148","5.148","-0.44%"
"Dec 19, 2017","5.171","5.171","5.171","5.171","-0.42%"
"Dec 18, 2017","5.193","5.193","5.193","5.193","-0.13%"
"Dec 16, 2017","5.200","5.200","5.200","5.200","0.00%"
"Dec 15, 2017","5.200","5.200","5.200","5.200","-0.38%"
"Dec 14, 2017","5.220","5.220","5.220","5.220","-0.82%"
"Dec 13, 2017","5.263","5.263","5.263","5.263","-1.44%"
"Dec 12, 2017","5.340","5.340","5.340","5.340","-0.26%"
"Dec 11, 2017","5.354","5.354","5.354","5.354","-0.11%"
"Dec 08, 2017","5.360","5.360","5.360","5.360","-0.15%"
"Dec 07, 2017","5.368","5.368","5.368","5.368","-0.09%"
"Dec 06, 2017","5.373","5.373","5.373","5.373","-0.15%"
"Dec 05, 2017","5.381","5.381","5.381","5.381","-0.02%"
"Dec 04, 2017","5.382","5.382","5.382","5.382","-0.02%"
"Dec 01, 2017","5.383","5.383","5.383","5.383","-0.07%"
"Nov 30, 2017","5.387","5.387","5.387","5.387","-0.30%"
"Nov 29, 2017","5.403","5.403","5.403","5.403","-0.11%"
"Nov 28, 2017","5.409","5.409","5.409","5.409","-0.02%"
"Nov 27, 2017","5.410","5.410","5.410","5.410","0.04%"
"Nov 24, 2017","5.408","5.408","5.408","5.408","0.13%"
"Nov 23, 2017","5.401","5.401","5.401","5.401","0.00%"
"Nov 22, 2017","5.401","5.401","5.401","5.401","0.00%"
"Nov 21, 2017","5.401","5.401","5.401","5.401","-0.04%"
"Nov 20, 2017","5.403","5.403","5.403","5.403","0.00%"
"Nov 17, 2017","5.403","5.403","5.403","5.403","0.00%"
"Nov 16, 2017","5.403","5.403","5.403","5.403","-0.04%"
"Nov 15, 2017","5.405","5.405","5.405","5.405","0.65%"
"Nov 14, 2017","5.370","5.370","5.370","5.370","0.00%"
"Nov 13, 2017","5.370","5.370","5.370","5.370","1.11%"
"Nov 10, 2017","5.311","5.311","5.311","5.311","0.00%"
"Nov 09, 2017","5.311","5.311","5.311","5.311","-0.02%"
"Nov 08, 2017","5.312","5.312","5.312","5.312","0.00%"
"Nov 07, 2017","5.312","5.312","5.312","5.312","0.11%"
"Nov 06, 2017","5.306","5.306","5.306","5.306","0.00%"
"Nov 03, 2017","5.306","5.306","5.306","5.306","-0.15%"
"Nov 02, 2017","5.314","5.314","5.314","5.314","0.00%"
"Nov 01, 2017","5.314","5.314","5.314","5.314","-0.02%"
"Oct 31, 2017","5.315","5.315","5.315","5.315","0.00%"
"Oct 30, 2017","5.315","5.315","5.315","5.315","-0.04%"
"Oct 29, 2017","5.317","5.317","5.317","5.317","0.00%"
"Oct 27, 2017","5.317","5.317","5.317","5.317","0.00%"
"Oct 26, 2017","5.317","5.317","5.317","5.317","0.00%"
"Oct 25, 2017","5.317","5.317","5.317","5.317","0.00%"
"Oct 24, 2017","5.317","5.317","5.317","5.317","-0.06%"
"Oct 23, 2017","5.320","5.320","5.320","5.320","0.00%"
"Oct 22, 2017","5.320","5.320","5.320","5.320","0.00%"
"Oct 20, 2017","5.320","5.320","5.320","5.320","0.08%"
"Oct 19, 2017","5.316","5.316","5.316","5.316","-0.13%"
"Oct 18, 2017","5.323","5.323","5.323","5.323","-0.02%"
"Oct 17, 2017","5.324","5.324","5.324","5.324","0.00%"
"Oct 16, 2017","5.324","5.324","5.324","5.324","-0.02%"
"Oct 13, 2017","5.325","5.325","5.325","5.325","0.00%"
"Oct 12, 2017","5.325","5.325","5.325","5.325","0.13%"
"Oct 11, 2017","5.318","5.318","5.318","5.318","-0.11%"
"Oct 10, 2017","5.324","5.324","5.324","5.324","-0.30%"
"Oct 09, 2017","5.340","5.340","5.340","5.340","-0.21%"
"Oct 06, 2017","5.351","5.351","5.351","5.351","-0.11%"
"Oct 05, 2017","5.357","5.357","5.357","5.357","0.00%"
"Oct 04, 2017","5.357","5.357","5.357","5.357","-0.11%"
"Oct 03, 2017","5.363","5.363","5.363","5.363","-0.02%"
"Oct 02, 2017","5.364","5.364","5.364","5.364","-0.04%"
"Sep 29, 2017","5.366","5.366","5.366","5.366","-0.11%"
"Sep 28, 2017","5.372","5.372","5.372","5.372","-0.13%"
"Sep 27, 2017","5.379","5.379","5.379","5.379","0.00%"
"Sep 26, 2017","5.379","5.379","5.379","5.379","0.00%"
"Sep 25, 2017","5.379","5.379","5.379","5.379","0.00%"
"Sep 22, 2017","5.379","5.379","5.379","5.379","0.04%"
"Sep 21, 2017","5.377","5.377","5.377","5.377","0.00%"
"Sep 20, 2017","5.377","5.377","5.377","5.377","0.00%"
"Sep 19, 2017","5.377","5.377","5.377","5.377","0.02%"
"Sep 18, 2017","5.376","5.376","5.376","5.376","-0.07%"
"Sep 15, 2017","5.380","5.380","5.380","5.380","-0.06%"
"Sep 14, 2017","5.383","5.383","5.383","5.383","0.00%"
"Sep 13, 2017","5.383","5.383","5.383","5.383","-0.15%"
"Sep 12, 2017","5.391","5.391","5.391","5.391","-0.09%"
"Sep 11, 2017","5.396","5.396","5.396","5.396","0.20%"
"Sep 08, 2017","5.385","5.385","5.385","5.385","-0.04%"
"Sep 07, 2017","5.387","5.387","5.387","5.387","-0.19%"
"Sep 06, 2017","5.397","5.397","5.397","5.397","-1.06%"
"Sep 05, 2017","5.455","5.455","5.455","5.455","-0.76%"
"Sep 04, 2017","5.497","5.498","5.498","5.497","-0.02%"
"Sep 01, 2017","5.498","5.498","5.498","5.498","-0.05%"
"Aug 31, 2017","5.501","5.501","5.501","5.501","-0.36%"
"Aug 30, 2017","5.521","5.521","5.521","5.521","-0.34%"
"Aug 29, 2017","5.540","5.540","5.540","5.540","0.16%"
"Aug 28, 2017","5.531","5.531","5.531","5.531","0.62%"
"Aug 25, 2017","5.497","5.497","5.497","5.497","0.64%"
"Aug 24, 2017","5.462","5.462","5.462","5.462","0.44%"
"Aug 23, 2017","5.438","5.438","5.438","5.438","0.00%"
"Aug 22, 2017","5.438","5.438","5.438","5.438","0.31%"
"Aug 21, 2017","5.421","5.421","5.421","5.421","0.26%"
"Aug 18, 2017","5.407","5.407","5.407","5.407","-0.02%"
"Aug 17, 2017","5.408","5.408","5.408","5.408","0.63%"
"Aug 16, 2017","5.374","5.374","5.374","5.374","0.21%"
"Aug 15, 2017","5.363","5.363","5.363","5.363","-0.07%"
"Aug 14, 2017","5.367","5.367","5.367","5.367","0.49%"
"Aug 11, 2017","5.341","5.341","5.341","5.341","0.13%"
"Aug 10, 2017","5.334","5.334","5.334","5.334","0.28%"
"Aug 09, 2017","5.319","5.319","5.319","5.319","0.23%"
"Aug 08, 2017","5.307","5.307","5.307","5.307","0.11%"
"Aug 07, 2017","5.301","5.301","5.301","5.301","0.55%"
"Aug 06, 2017","5.272","5.272","5.272","5.272","0.00%"
"Aug 04, 2017","5.272","5.272","5.272","5.272","0.00%"
"Aug 03, 2017","5.272","5.272","5.272","5.272","0.00%"
"Aug 02, 2017","5.272","5.272","5.272","5.272","0.00%"
"Aug 01, 2017","5.272","5.272","5.272","5.272","0.13%"
"Jul 31, 2017","5.265","5.265","5.265","5.265","-0.17%"
"Jul 28, 2017","5.274","5.274","5.274","5.274","0.25%"
"Jul 27, 2017","5.261","5.261","5.261","5.261","-0.32%"
"Jul 26, 2017","5.278","5.278","5.278","5.278","0.09%"
"Jul 25, 2017","5.273","5.273","5.273","5.273","0.25%"
"Jul 24, 2017","5.260","5.260","5.260","5.260","0.13%"
"Jul 21, 2017","5.253","5.253","5.253","5.253","0.23%"
"Jul 20, 2017","5.241","5.241","5.241","5.241","-0.76%"
"Jul 19, 2017","5.281","5.281","5.281","5.281","-0.84%"
"Jul 18, 2017","5.326","5.326","5.326","5.326","-1.02%"
"Jul 17, 2017","5.381","5.381","5.381","5.381","0.09%"
"Jul 16, 2017","5.376","5.376","5.376","5.376","0.00%"
"Jul 14, 2017","5.376","5.376","5.376","5.376","0.15%"
"Jul 13, 2017","5.368","5.368","5.368","5.368","-0.89%"
"Jul 12, 2017","5.416","5.416","5.416","5.416","-0.39%"
"Jul 11, 2017","5.437","5.437","5.437","5.437","-0.88%"
"Jul 10, 2017","5.485","5.485","5.485","5.485","-1.86%"
"Jul 07, 2017","5.589","5.589","5.589","5.589","-0.37%"
"Jul 06, 2017","5.610","5.610","5.610","5.610","-0.25%"
"Jul 05, 2017","5.624","5.624","5.624","5.624","0.00%"
"Jul 04, 2017","5.624","5.624","5.624","5.624","0.00%"
"Jul 03, 2017","5.624","5.624","5.624","5.624","-0.18%"
"Jul 02, 2017","5.634","5.634","5.634","5.634","0.00%"
"Jul 01, 2017","5.634","5.634","5.634","5.634","0.00%"
"Jun 30, 2017","5.634","5.634","5.634","5.634","-0.34%"
"Jun 29, 2017","5.653","5.653","5.653","5.653","0.05%"
"Jun 28, 2017","5.650","5.650","5.650","5.650","0.00%"
"Jun 27, 2017","5.650","5.650","5.650","5.650","0.00%"
"Jun 26, 2017","5.650","5.650","5.650","5.650","-0.04%"
"Jun 25, 2017","5.652","5.652","5.652","5.652","0.00%"
"Jun 23, 2017","5.652","5.652","5.652","5.652","-0.55%"
"Jun 22, 2017","5.683","5.683","5.683","5.683","0.00%"
"Jun 21, 2017","5.683","5.683","5.683","5.683","-0.85%"
"Jun 20, 2017","5.732","5.732","5.732","5.732","-0.24%"
"Jun 19, 2017","5.746","5.746","5.746","5.746","-0.23%"
"Jun 16, 2017","5.759","5.759","5.759","5.759","-0.38%"
"Jun 15, 2017","5.781","5.781","5.781","5.781","-0.82%"
"Jun 14, 2017","5.829","5.829","5.829","5.829","-0.19%"
"Jun 13, 2017","5.840","5.840","5.840","5.840","0.00%"
"Jun 12, 2017","5.840","5.840","5.840","5.840","0.29%"
"Jun 09, 2017","5.823","5.823","5.823","5.823","-0.43%"
"Jun 08, 2017","5.848","5.848","5.848","5.848","0.00%"
"Jun 07, 2017","5.848","5.848","5.848","5.848","-0.03%"
"Jun 06, 2017","5.850","5.850","5.850","5.850","-0.02%"
"Jun 05, 2017","5.851","5.851","5.851","5.851","-0.07%"
"Jun 02, 2017","5.855","5.855","5.855","5.855","-0.17%"
"Jun 01, 2017","5.865","5.865","5.865","5.865","3.42%"
"May 31, 2017","5.671","5.671","5.671","5.671","-0.21%"
"May 30, 2017","5.683","5.683","5.683","5.683","0.00%"
"May 29, 2017","5.683","5.683","5.683","5.683","-0.05%"
"May 26, 2017","5.686","5.686","5.686","5.686","-0.26%"
"May 25, 2017","5.701","5.701","5.701","5.701","-0.52%"
"May 24, 2017","5.731","5.731","5.731","5.731","-0.52%"
"May 23, 2017","5.761","5.761","5.761","5.761","0.07%"
"May 22, 2017","5.757","5.757","5.757","5.757","0.00%"
"May 19, 2017","5.757","5.757","5.757","5.757","-0.07%"
"May 18, 2017","5.761","5.761","5.761","5.761","-0.28%"
"May 17, 2017","5.777","5.777","5.777","5.777","-0.05%"
"May 16, 2017","5.780","5.780","5.780","5.780","-0.14%"
"May 15, 2017","5.788","5.788","5.788","5.788","-0.29%"
"May 12, 2017","5.805","5.805","5.805","5.805","0.00%"
"May 11, 2017","5.805","5.805","5.805","5.805","0.03%"
"May 10, 2017","5.803","5.803","5.803","5.803","-0.12%"
"May 09, 2017","5.810","5.810","5.810","5.810","0.02%"
"May 08, 2017","5.809","5.809","5.809","5.809","0.00%"
"May 07, 2017","5.809","5.809","5.809","5.809","0.00%"
"May 05, 2017","5.809","5.809","5.809","5.809","0.00%"
"May 04, 2017","5.809","5.809","5.809","5.809","0.24%"
"May 03, 2017","5.795","5.795","5.795","5.795","0.00%"
"May 02, 2017","5.795","5.795","5.795","5.795","0.00%"
"May 01, 2017","5.795","5.793","5.795","5.793","0.03%"
"Apr 28, 2017","5.793","5.793","5.793","5.793","0.00%"
"Apr 27, 2017","5.793","5.793","5.793","5.793","0.33%"
"Apr 26, 2017","5.774","5.774","5.774","5.774","0.02%"
"Apr 25, 2017","5.773","5.773","5.773","5.773","0.05%"
"Apr 24, 2017","5.770","5.770","5.770","5.770","0.00%"
"Apr 22, 2017","5.770","5.770","5.770","5.770","0.00%"
"Apr 21, 2017","5.770","5.770","5.770","5.770","0.05%"
"Apr 20, 2017","5.767","5.767","5.767","5.767","0.16%"
"Apr 19, 2017","5.758","5.758","5.758","5.758","-0.14%"
"Apr 18, 2017","5.766","5.766","5.766","5.766","-0.02%"
"Apr 17, 2017","5.767","5.767","5.767","5.767","-0.14%"
"Apr 14, 2017","5.775","5.775","5.775","5.775","-0.12%"
"Apr 13, 2017","5.782","5.782","5.782","5.782","-0.09%"
"Apr 12, 2017","5.787","5.787","5.787","5.787","-0.28%"
"Apr 11, 2017","5.803","5.803","5.803","5.803","0.02%"
"Apr 10, 2017","5.802","5.802","5.802","5.802","-0.17%"
"Apr 07, 2017","5.812","5.812","5.812","5.812","-0.33%"
"Apr 06, 2017","5.831","5.831","5.831","5.831","0.00%"
"Apr 05, 2017","5.831","5.831","5.831","5.831","-0.07%"
"Apr 04, 2017","5.835","5.835","5.835","5.835","0.00%"
"Apr 03, 2017","5.835","5.835","5.835","5.835","0.15%"
"Mar 31, 2017","5.826","5.826","5.826","5.826","-0.10%"
"Mar 30, 2017","5.832","5.832","5.832","5.832","0.00%"
"Mar 29, 2017","5.832","5.832","5.832","5.832","0.00%"
"Mar 28, 2017","5.832","5.832","5.832","5.832","0.00%"
"Mar 27, 2017","5.832","5.832","5.832","5.832","0.00%"
"Mar 26, 2017","5.832","5.832","5.832","5.832","0.00%"
"Mar 24, 2017","5.832","5.832","5.832","5.832","-0.03%"
"Mar 23, 2017","5.834","5.834","5.834","5.834","0.19%"
"Mar 22, 2017","5.823","5.823","5.823","5.823","0.00%"
"Mar 21, 2017","5.823","5.823","5.823","5.823","0.03%"
"Mar 20, 2017","5.821","5.821","5.821","5.821","-0.34%"
"Mar 18, 2017","5.841","5.841","5.841","5.841","0.00%"
"Mar 17, 2017","5.841","5.841","5.841","5.841","-0.49%"
"Mar 16, 2017","5.870","5.870","5.870","5.870","-0.09%"
"Mar 15, 2017","5.875","5.875","5.875","5.875","0.10%"
"Mar 14, 2017","5.869","5.869","5.869","5.869","0.00%"
"Mar 13, 2017","5.869","5.869","5.869","5.869","-0.03%"
"Mar 10, 2017","5.871","5.871","5.871","5.871","-0.05%"
"Mar 09, 2017","5.874","5.874","5.874","5.874","-0.03%"
"Mar 08, 2017","5.876","5.876","5.876","5.876","0.00%"
"Mar 07, 2017","5.876","5.876","5.876","5.876","0.00%"
"Mar 06, 2017","5.876","5.876","5.876","5.876","-0.10%"
"Mar 03, 2017","5.882","5.882","5.882","5.882","0.00%"
"Mar 02, 2017","5.882","5.882","5.882","5.882","0.00%"
"Mar 01, 2017","5.882","5.882","5.882","5.882","0.00%"
"Feb 28, 2017","5.882","5.882","5.882","5.882","-0.10%"
"Feb 27, 2017","5.888","5.888","5.888","5.888","-0.10%"
"Feb 24, 2017","5.894","5.894","5.894","5.894","-0.05%"
"Feb 23, 2017","5.897","5.897","5.897","5.897","-0.05%"
"Feb 22, 2017","5.900","5.900","5.900","5.900","-0.07%"
"Feb 21, 2017","5.904","5.904","5.904","5.904","0.02%"
"Feb 20, 2017","5.903","5.903","5.903","5.903","0.02%"
"Feb 17, 2017","5.902","5.902","5.902","5.902","0.19%"
"Feb 16, 2017","5.891","5.891","5.891","5.891","-0.37%"
"Feb 15, 2017","5.913","5.913","5.913","5.913","-0.08%"
"Feb 14, 2017","5.918","5.918","5.918","5.918","-0.19%"
"Feb 13, 2017","5.929","5.929","5.929","5.929","-0.19%"
"Feb 10, 2017","5.940","5.940","5.940","5.940","-0.02%"
"Feb 09, 2017","5.941","5.941","5.941","5.941","-0.44%"
"Feb 08, 2017","5.967","5.967","5.967","5.967","0.00%"
"Feb 07, 2017","5.967","5.967","5.967","5.967","-0.17%"
"Feb 06, 2017","5.977","5.977","5.977","5.977","-0.30%"
"Feb 03, 2017","5.995","5.995","5.995","5.995","-0.25%"
"Feb 02, 2017","6.010","6.010","6.010","6.010","0.00%"
"Feb 01, 2017","6.010","6.010","6.010","6.010","0.00%"
"Jan 31, 2017","6.010","6.010","6.010","6.010","0.00%"
"Jan 30, 2017","6.010","6.010","6.010","6.010","0.00%"
"Jan 27, 2017","6.010","6.010","6.010","6.010","0.00%"
"Jan 26, 2017","6.010","6.010","6.010","6.010","0.00%"
"Jan 25, 2017","6.010","6.010","6.010","6.010","0.03%"
"Jan 24, 2017","6.008","6.008","6.008","6.008","-0.45%"
"Jan 23, 2017","6.035","6.035","6.035","6.035","0.00%"
"Jan 20, 2017","6.035","6.035","6.035","6.035","0.00%"
"Jan 19, 2017","6.035","6.035","6.035","6.035","-0.18%"
"Jan 18, 2017","6.046","6.046","6.046","6.046","-0.03%"
