Cabo Verde,2.35,4.79,-4.12,49.35,-29.17,-1.55,-0.55,-0.84,-0.34,7.61,-7.90,5.16,-0.36,4.92,-6.33,-1.79,4.64,8.75,3.55,2.17,0.51,2.68,0.55,1.43,-0.15,1.74,-0.23,0.69,1.53,..
Cambodia,..,..,..,..,59.97,8.00,3.03,6.01,10.36,1.26,-4.28,2.65,0.71,1.80,4.82,6.08,4.63,6.52,12.25,2.50,3.12,3.36,1.44,0.78,2.63,1.72,3.38,3.32,3.08,..
Cameroon,1.64,3.57,-1.28,39.80,9.62,4.99,1.07,5.59,4.31,-1.12,5.21,1.46,1.84,0.20,1.99,0.75,3.36,0.96,6.61,1.65,1.91,2.67,2.67,2.04,2.10,0.18,1.09,1.48,1.60,..
Canada,3.41,3.05,1.48,1.30,1.47,2.24,1.74,1.14,0.87,3.07,4.60,2.02,0.84,1.26,2.46,1.38,1.09,-1.33,4.00,-2.32,2.87,3.24,1.20,1.73,1.96,-0.90,0.80,2.56,1.93,..
Cayman Islands,..,..,..,..,..,..,..,..,..,4.85,3.48,1.98,2.55,1.67,4.40,7.30,74.52,2.41,3.05,0.61,-0.21,-0.46,1.26,1.38,0.89,0.34,0.92,1.86,..,..
Central African Republic,1.84,-0.39,2.78,-3.43,24.41,9.90,-3.54,0.82,-0.41,4.08,8.51,0.43,-2.37,1.34,-4.44,4.19,3.33,1.84,7.08,0.71,4.21,4.01,6.18,2.49,11.89,2.71,2.98,6.44,-1.22,..
Chad,8.01,3.07,-12.91,-1.31,43.54,8.83,11.46,3.78,6.75,-7.57,5.29,13.80,1.91,0.08,9.73,28.11,9.98,3.30,8.65,-9.56,6.39,8.58,1.10,-4.14,0.65,-8.48,-1.40,0.03,5.11,..
Channel Islands,..,..,..,..,..,..,..,..,..,3.91,3.89,3.30,4.38,4.35,3.80,2.50,3.28,3.34,..,..,..,..,..,..,..,..,..,..,..,..
Chile,22.47,21.39,13.46,12.16,14.46,11.68,3.37,3.06,1.04,2.28,4.27,3.86,3.39,4.58,7.85,7.64,12.16,5.34,-0.05,4.65,8.96,3.11,1.13,1.98,5.91,4.95,4.47,5.00,2.02,..
China,5.72,6.68,8.20,15.20,20.60,13.67,6.50,1.62,-0.89,-1.27,2.06,2.04,0.60,2.61,6.95,3.90,3.93,7.75,7.79,-0.21,6.88,8.08,2.34,2.16,0.79,0.06,1.07,3.88,2.93,..
Colombia,52.34,27.01,22.66,24.84,22.10,18.85,16.87,16.84,14.77,12.62,33.68,6.52,5.97,6.83,7.28,4.56,5.78,5.13,7.74,4.24,3.74,5.99,3.68,2.49,2.08,2.45,5.15,5.11,3.67,..
Comoros,2.18,8.12,-6.76,2.83,9.42,8.32,3.20,0.92,1.35,5.81,-4.46,8.63,4.17,5.11,3.39,0.32,3.11,3.54,3.11,1.03,1.65,3.09,4.24,1.72,0.84,-0.49,1.71,0.40,1.16,..
"Congo, Dem. Rep.",108.96,2338.45,3855.31,1657.64,26765.86,466.41,638.19,192.64,26.94,441.90,2630.12,73.06,31.72,13.42,6.37,29.87,13.33,20.27,20.47,32.66,20.79,13.79,5.94,2.77,0.99,-1.16,4.35,43.07,30.14,..
"Congo, Rep.",-1.03,-1.48,-1.57,-1.13,36.75,3.40,17.99,4.96,-18.22,29.36,47.04,-13.93,-1.74,-4.25,16.81,21.33,18.52,1.12,25.03,-20.63,20.72,10.67,-1.17,-3.66,-5.67,-29.69,8.97,-2.45,22.24,..
Costa Rica,18.55,64.15,19.69,10.38,15.66,21.22,15.26,14.61,12.15,11.40,9.41,9.76,9.86,10.72,13.45,13.10,13.04,10.54,11.42,9.83,6.57,4.55,4.36,4.01,5.80,3.78,2.00,2.55,2.39,..
Cote d'Ivoire,-4.52,0.66,-0.02,6.15,46.39,11.04,4.98,6.20,3.64,0.79,2.25,7.40,6.67,4.80,-2.89,1.30,1.74,2.93,8.50,2.35,5.39,1.64,3.15,3.71,3.91,3.11,-1.07,-1.74,0.43,..
Croatia,..,..,..,..,..,..,3.82,6.84,8.11,3.54,4.36,4.30,3.86,4.30,3.61,3.13,3.85,4.14,5.56,2.97,0.92,1.65,1.46,0.76,0.14,0.08,-0.10,1.17,1.80,..
Cuba,5.26,-7.39,3.75,18.98,26.28,10.51,-2.67,-1.35,1.30,3.79,1.74,0.45,4.53,2.97,0.61,0.38,10.37,3.59,-0.34,0.63,1.20,4.32,2.91,2.66,3.46,3.44,4.33,4.12,1.00,..
Curacao,..,..,..,..,..,..,..,..,..,..,..,1.79,0.41,1.62,1.38,4.10,3.13,3.00,6.90,1.80,2.78,2.33,3.18,1.33,1.50,-0.48,0.05,1.59,2.58,..
Cyprus,5.43,3.89,6.04,4.80,5.27,13.60,2.64,2.24,1.97,2.30,2.74,3.66,0.30,5.39,2.71,2.02,3.09,4.14,4.73,0.26,1.88,1.62,1.68,-0.95,-1.42,-0.94,-0.82,1.75,1.36,..
Czech Republic,..,36.19,12.36,21.01,12.34,9.11,9.97,8.36,9.94,3.00,1.77,4.89,2.72,1.16,3.87,0.07,0.69,3.52,2.05,2.60,-1.43,0.02,1.46,1.43,2.48,1.17,1.27,1.44,2.54,..
Denmark,2.60,2.66,1.66,0.58,1.57,1.28,2.01,2.01,1.23,1.68,3.02,2.52,2.35,1.48,2.10,2.91,2.08,2.43,4.13,0.53,3.22,0.64,2.38,0.89,1.03,0.43,0.25,1.13,0.85,..
Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.33,2.48,0.15,0.56,1.30,..
