Djibouti,350.63,176.59,182.41,217.35,206.58,167.45,150.83,129.60,119.01,107.36,100.67,81.04,99.20,104.34,83.37,94.69,145.21,139.88,172.50,200.32,157.14,165.64,171.01,168.97,184.83,189.71,199.49,150.93,184.93
Dominica,278.90,250.52,180.03,125.79,275.75,351.63,608.01,206.24,275.70,142.19,219.38,282.65,423.84,156.49,417.72,299.06,278.01,274.74,301.86,507.40,457.83,344.63,361.87,282.75,229.16,164.51,120.18,265.75,371.66
Dominican Republic,12.74,10.65,10.77,0.54,7.63,13.79,10.40,7.98,13.07,22.23,7.24,13.64,18.46,9.68,11.60,10.44,8.14,15.49,18.75,14.58,19.99,24.72,26.19,14.62,16.35,27.23,16.99,11.19,8.15
Ecuador,14.14,18.89,20.65,16.94,17.13,16.38,20.37,13.23,14.84,12.31,12.24,13.26,17.77,15.17,13.56,18.65,15.21,16.09,17.09,15.13,11.23,11.89,9.57,9.58,10.35,19.62,14.78,12.11,23.20
"Egypt, Arab Rep.",108.05,94.19,63.71,41.50,44.07,32.54,34.49,30.97,29.82,24.00,19.92,18.54,18.31,13.97,20.26,13.85,11.82,14.56,21.20,12.11,7.24,5.01,20.98,62.36,39.12,27.31,25.81,0.34,20.97
El Salvador,62.33,50.96,66.97,62.13,49.15,49.60,48.17,46.28,32.33,33.87,32.68,42.68,41.84,35.27,39.40,36.10,29.32,17.61,39.68,47.49,48.90,47.88,35.25,26.99,15.58,14.18,20.29,23.73,38.71
Equatorial Guinea,143.68,143.65,138.22,113.83,62.05,67.23,59.75,44.53,39.68,34.79,35.09,20.96,30.61,30.48,40.66,50.87,33.41,38.17,37.27,35.25,90.15,24.88,14.01,4.30,0.46,6.41,5.69,5.49,4.22
Eritrea,1.99,..,0.44,30.25,69.49,67.28,71.70,56.26,76.51,66.98,77.66,119.89,91.36,121.86,96.89,123.73,43.24,52.90,47.48,45.71,51.19,41.51,..,..,..,..,..,..,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,21.08,22.01,22.61,20.29,19.27,15.37,13.87,9.54,10.56,10.00,10.39,16.19,18.89,22.46,24.65,25.27,25.92,32.31,40.00,44.86,39.42,38.78,34.98,40.74,36.54,32.12,39.42,38.76,45.14
